¿Qué dios de la mitología nórdica es conocido como el dios del trueno?,Odín,Thor,Freya,Loki,2,0.0,1,0,1
¿Quién pintó la Gioconda?,Leonardo da Vinci,Michelangelo,Rafael,Caravaggio,1,0.0,2,0,2
¿Qué río cruza la ciudad de Atenas?,Cefiso,Asopo,Iliso,Alfeo,3,0.0,1,0,1
¿Qué dios de la mitología egipcia es conocido como el dios de la muerte?,Isis,Osiris,Horus,Anubis,4,0.0,0,0,0
¿Qué dios de la mitología romana es conocido como el rey de los dioses?,Júpiter,Neptuno,Plutón,Marte,1,0.0,1,0,1
¿Quién gobernó China de 1978 a 1992?,Deng Xiaoping,Mao Zedong,Jiang Zemin,Hu Jintao,1,0.0,0,0,0
¿Qué equipo de fútbol ganó la Copa Mundial de 2014?,Argentina,Brasil,Alemania,Francia,3,100.0,0,1,1
¿Qué personaje de Star Wars es conocido como el héroe de la Rebelión?,Han Solo,Luke Skywalker,Leia Organa,Obi-Wan Kenobi,2,0.0,0,0,0
¿Qué equipo de fútbol ganó la Copa Mundial de 2002?,Alemania,Brasil,Argentina,Francia,2,100.0,0,1,1
¿Qué personaje de Marvel es conocido como el superhéroe con escudo?,Iron Man,Thor,Captain America,Spider-Man,3,0.0,0,0,0
¿Quién gobernó la Unión Soviética de 1922 a 1953?,Leon Trotsky,Nikita Khrushchev,Joseph Stalin,Leonid Brezhnev,3,0.0,0,0,0
¿Qué país se independizó de la Unión Soviética en 1990?,Lituania,Letonia,Estonia,Bielorrusia,1,0.0,0,0,0
¿Qué sinfonía es conocida como la Sinfonía del Nuevo Mundo?,Antonín Dvořák,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,1,0.0,0,0,0
¿Quién descubrió la teoría de la evolución?,Isaac Newton,Albert Einstein,Marie Curie,Charles Darwin,4,0.0,0,0,0
¿Qué país se independizó de Francia en 1962?,Túnez,Marruecos,Senegal,Argelia,4,0.0,0,0,0
¿Qué personaje de Marvel es conocido como el superhéroe con armadura?,Thor,Spider-Man,Captain America,Iron Man,4,0.0,0,0,0
¿Quién pintó la Capilla Sixtina?,Leonardo da Vinci,Rafael,Michelangelo,Caravaggio,3,0.0,1,0,1
¿Qué río cruza la ciudad de Roma?,Arno,Tíber,Adriático,Toscana,2,0.0,1,0,1
¿Qué monumento histórico es famoso en Turquía?,Mezquita Azul,Palacio de Topkapi,Santa Sofía,Anıtkabir,3,0.0,0,0,0
¿Qué libro de Stephen King es famoso por su historia de terror?,It,Carrie,El resplandor,La torre oscura,3,0.0,1,0,1
¿Qué invento de Johannes Gutenberg revolucionó la imprenta?,Imprenta,Computadora,Internet,Televisión,1,0.0,0,0,0
¿Quién descubrió la vacuna contra la viruela?,Isaac Newton,Edward Jenner,Albert Einstein,Marie Curie,2,0.0,0,0,0
¿Qué libro de J.R.R. Tolkien es famoso por su historia de hobbits?,El Señor de los Anillos,Harry Potter,El Hobbit,La Sombra del Viento,1,100.0,0,1,1
¿Quién descubrió la teoría de la relatividad?,Albert Einstein,Isaac Newton,Marie Curie,Charles Darwin,1,100.0,0,2,2
¿Qué país se independizó de Yugoslavia en 1991?,Bosnia y Herzegovina,Montenegro,Croacia,Eslovenia,3,0.0,1,0,1
¿Qué país se independizó de la Unión Soviética en 1991?,Ucrania,Rusia,Bielorrusia,Kazajstán,2,0.0,0,0,0
¿Qué libro de Gabriel García Márquez es famoso por su historia de amor?,El amor en los tiempos del cólera,Cien años de soledad,La casa de los espíritus,La ciudad y los perros,2,0.0,0,0,0
¿Qué río cruza la ciudad de Estambul?,Bósforo,Dardanelos,Mar Negro,Mar de Mármara,1,0.0,0,0,0
¿Qué monumento histórico es famoso en Grecia?,Partenón,Acropolis,Teatro de Dioniso,Templo de Zeus,1,100.0,0,1,1
¿Qué equipo de fútbol ganó la Copa Mundial de 2006?,Italia,Francia,Alemania,Portugal,1,0.0,0,0,0
¿Qué invento de Guglielmo Marconi revolucionó la comunicación?,Internet,Radio,Computadora,Televisión,2,0.0,1,0,1
¿Quién interpretó a Darth Vader en la saga de Star Wars?,David Prowse,James Earl Jones,Mark Hamill,Harrison Ford,2,0.0,0,0,0
¿Quién gobernó la Unión Soviética de 1953 a 1964?,Leonid Brezhnev,Nikita Khrushchev,Leon Trotsky,Joseph Stalin,2,0.0,0,0,0
¿Qué río cruza la ciudad de Venecia?,Adriático,Brenta,Sile,Grande,4,0.0,0,0,0
¿Quién interpretó a Tony Stark en la saga de Marvel?,Chris Hemsworth,Chris Evans,Robert Downey Jr.,Mark Ruffalo,3,100.0,0,1,1
¿Qué sinfonía es conocida como la Danza Macabra?,Hector Berlioz,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Camille Saint-Saëns,4,0.0,0,0,0
¿Qué dios de la mitología griega es conocido como el dios del mar?,Apolo,Artemisa,Poseidón,Ares,3,100.0,0,1,1
¿Qué invento de Eli Whitney revolucionó la agricultura?,Internet,Televisión,Desmotadora de algodón,Computadora,3,100.0,0,1,1
¿Qué sinfonía es conocida como la Novena Sinfonía?,Wolfgang Amadeus Mozart,Ludwig van Beethoven,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky,2,0.0,0,0,0
¿Quién gobernó Alemania de 1933 a 1945?,Joseph Goebbels,Hermann Göring,Joachim von Ribbentrop,Adolf Hitler,4,0.0,1,0,1
¿Qué monumento histórico es famoso en Italia?,Arco de Constantino,Coliseo Romano,Foro Romano,Pantheon,2,0.0,0,0,0
¿Quién interpretó a Luke Skywalker en la saga de Star Wars?,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,1,0.0,0,0,0
¿Quién pintó la Noche Estrellada?,Paul Gauguin,Edvard Munch,Salvador Dalí,Vincent van Gogh,4,50.0,1,1,2
¿Qué sinfonía es conocida como la Sinfonía Fantástica?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Hector Berlioz,Johann Sebastian Bach,3,0.0,1,0,1
¿Qué equipo de fútbol ganó la Copa Mundial de 2010?,Países Bajos,Alemania,Argentina,España,4,0.0,0,0,0
¿Qué personaje de DC Comics es conocido como el superhéroe con capa?,Superman,Batman,Spider-Man,Iron Man,1,0.0,2,0,2
¿Quién interpretó a Michael Corleone en la saga de El Padrino?,Marlon Brando,Robert De Niro,James Caan,Al Pacino,4,0.0,0,0,0
¿Qué invento de Cyrus McCormick revolucionó la agricultura?,Computadora,Internet,Televisión,Segadora mecánica,4,0.0,0,0,0
¿Qué monumento histórico es famoso en Egipto?,Esfinxe de Giza,Templo de Karnak,Obelisco de Luxor,Pirámide de Keops,4,0.0,1,0,1